2668	0	0.71657
8826	1	0.52776
8881	1	0.13667
8882	1	0.28979
8885	1	0.264
8799	2	0.27367
8800	2	0.5235
1156	4	0.75982
1168	4	0.013532
1171	4	0.17967
2353	4	0.25056
2354	4	0.15664
2355	4	0.39174
1044	5	0.81532
936	6	0.18119
836	7	0.30278
837	7	0.45714
910	7	0.15971
913	7	0.7659
703	8	0.78076
704	8	0.26482
721	8	0.16267
723	8	0.22048
614	9	0.020803
590	10	0.30827
5201	11	0.56532
5202	11	0.6157
5203	11	0.73153
5205	11	0.17319
5223	11	0.075471
5224	11	0.13115
349	12	0.37364
267	13	0.21343
269	13	0.47071
7369	13	0.74906
7370	13	0.019508
7380	13	0.071567
164	14	0.035357
170	14	0.27921
7255	14	0.68447
7256	14	0.41631
7257	14	0.12763
7336	14	0.019151
4829	15	0.19152
1717	16	0.11243
7077	16	0.74122
7079	16	0.047111
6960	17	0.43682
6942	18	0.86885
4679	19	0.078549
4737	19	0.22111
4741	19	0.19128
4744	19	0.67366
6667	20	0.88385
6645	21	0.54894
6533	22	0.81086
4643	23	0.48761
4647	23	0.043309
4654	23	0.084617
4658	23	0.58324
3159	25	0.35151
3161	25	0.51647
3163	25	0.1167
6257	25	0.38088
3189	26	0.18835
3242	26	0.41034
2169	28	0.11318
2172	28	0.92044
3512	29	0.070642
3533	30	0.28155
3534	30	0.48022
3635	31	0.067843
3653	31	0.87888
3654	31	0.19892
4974	31	0.020936
2583	32	0.14669
3827	32	0.034242
3828	32	0.35395
3829	32	0.67239
3849	33	0.3334
3850	33	0.088547
3958	34	0.33198
4067	35	0.10654
4080	35	0.50123
4081	35	0.22808
4086	35	0.68551
4087	35	0.1992
4088	35	0.20737
4458	35	0.16025
4228	37	0.18415
7742	37	0.65364
7620	38	0.057236
7636	38	0.23298
7637	38	0.094361
7638	38	0.81567
7524	39	0.1291
2890	40	0.34337
2898	40	0.34563
8194	40	0.28681
8094	41	0.08449
7978	42	0.15072
7982	42	0.67195
7876	43	0.1075
7955	43	0.45431
7958	43	0.39138
2772	44	0.31165
2773	44	0.065164
2774	44	0.84108
8481	45	0.5876
8482	45	0.32949
8454	46	0.36638
8349	47	0.17293
8351	47	0.073684
8352	47	0.83011
8353	47	0.15547
5434	48	0.39765
5453	48	0.090653
5542	49	0.37462
5543	49	0.062656
5075	50	0.040717
5086	50	0.44853
5178	51	0.14578
2469	52	0.29046
2374	53	0.22418
2447	53	0.36451
1535	80	0.088957
1536	80	0.13853
8976	80	0.27472
1411	81	0.30484
8897	81	0.28099
8677	82	0.1265
1142	83	0.0044239
1143	83	0.37059
1225	83	0.3733
1120	84	0.57714
1121	84	0.24707
1124	84	0.23873
864	85	0.26816
783	86	0.7388
784	86	0.34979
500	87	0.30003
525	87	0.15231
526	87	0.28837
392	88	0.17132
395	88	0.3028
476	88	0.21338
355	89	0.18989
7463	89	0.33721
150	90	0.90661
153	90	0.030804
7275	90	0.19287
7279	90	0.28767
7280	90	0.29274
7184	91	0.94872
7135	92	0.71725
6883	93	0.30766
6894	93	0.12369
6895	93	0.15241
6896	93	0.54425
6759	94	0.20459
6761	94	0.38071
6766	94	0.63067
6722	95	0.35354
6723	95	0.031633
6728	95	0.015605
6445	96	0.78722
6450	96	0.05526
6516	96	0.16211
6411	97	0.60978
6416	97	0.46362
6322	98	0.076317
6324	98	0.19664
3254	99	0.74825
3255	99	0.24447
3256	99	0.19628
3257	99	0.46754
3273	99	0.23623
3324	100	0.65594
3345	101	0.2684
3394	101	0.2053
3449	102	0.63428
